# name, tgt sunk, tgt tons, subsDmgd, subsSunk, subsSpotted, subsRTB, subsPromoted
U-431(5-3-3),2,8,0,0,0,0,0
U-432(5-3-3),2,11,0,0,0,0,0
U-433(5-3-3),1,17,0,0,0,0,0
U-434(5-3-3),2,11,0,0,0,0,0
U-435(5-3-3),1,4,0,0,0,0,0
U-436(5-3-3),2,25,0,0,0,0,0
U-437(5-3-3),1,5,0,0,0,0,0
U-438(5-3-3),1,4,0,0,0,0,0
U-439(5-3-3),0,0,0,0,0,0,0
U-440(5-3-3),2,6,0,0,0,0,0
U-441(5-3-3),0,0,0,0,0,0,0
U-442(5-3-3),3,16,0,0,0,0,0
U-443(5-3-3),1,9,0,0,0,0,0
U-444(5-3-3),2,12,0,0,0,0,0
U-445(5-3-3),2,18,0,0,0,0,0
U-446(5-3-3),2,9,0,0,0,0,0
U-447(5-3-3),2,6,0,0,0,0,0
U-448(5-3-3),1,4,0,0,0,0,0
U-449(5-3-3),2,12,0,0,0,0,0
U-450(5-3-3),2,7,0,0,0,0,0
U-451(5-3-3),2,24,0,0,0,0,0
U-452(5-3-3),1,5,0,0,0,0,0
U-453(5-3-3),1,3,0,0,0,0,0
U-454(5-3-3),1,4,0,0,0,0,0
U-455(5-3-3),1,7,0,0,0,0,0
U-456(5-3-3),1,4,0,0,0,0,0
U-457(5-3-3),0,0,0,0,1,0,0
U-458(5-3-3),2,4,0,0,0,0,0
U-459(5-3-3),3,12,0,0,0,0,0
U-460(5-3-3),2,16,0,0,0,0,0
U-461(5-3-3),1,4,0,0,0,0,0
U-462(5-3-3),3,10,0,0,0,0,0
U-463(5-3-3),3,18,0,0,0,0,0
U-464(5-3-3),0,0,0,0,0,0,0
U-465(5-3-3),2,9,0,0,0,0,0
U-466(5-3-3),0,0,0,0,0,0,0
U-467(5-3-3),0,0,1,0,0,0,0
U-468(5-3-3),2,11,0,0,0,0,0
U-469(5-3-3),1,7,0,0,0,0,0
U-470(5-3-3),0,0,1,0,0,0,0
U-471(5-3-3),3,17,0,0,0,0,0
U-472(5-3-3),3,13,0,0,0,0,0
U-473(5-3-3),2,9,0,0,0,0,0
U-474(5-3-3),2,5,0,0,0,0,0
U-475(5-3-3),3,22,0,0,0,0,0
U-476(5-3-3),2,14,0,0,0,0,0
U-477(5-3-3),0,0,0,0,0,0,0
U-478(5-3-3),0,0,1,0,0,1,1
U-479(5-3-3),0,0,0,0,0,0,0
U-480(5-3-3),0,0,0,0,0,0,0
U-481(5-3-3),3,11,0,1,0,0,0
U-482(5-3-3),3,24,0,0,0,0,0
U-483(5-3-3),0,0,0,0,0,0,0
U-484(5-3-3),1,3,0,0,0,0,0
U-485(5-3-3),3,22,0,0,0,0,0
U-486(5-3-3),1,4,0,0,0,0,0
U-487(5-3-3),1,2,0,0,0,0,0
U-488(5-3-3),2,8,0,0,0,0,0
U-489(5-3-3),2,10,0,0,0,0,0
U-490(5-3-3),0,0,1,0,0,1,1
U-491(5-3-3),1,7,0,0,0,0,0
U-492(5-3-3),2,16,0,0,0,0,0
U-493(5-3-3),1,2,0,0,0,0,0
U-494(5-3-3),0,0,0,0,0,0,0
U-495(5-3-3),1,6,0,0,0,0,0
U-496(5-3-3),3,11,0,0,0,0,0
U-497(5-3-3),3,16,0,0,0,0,0
U-498(5-3-3),0,0,0,0,0,0,0
U-499(5-3-3),0,0,0,0,0,0,0
U-500(5-3-3),2,10,0,0,0,0,0
U-501(5-3-3),3,28,0,0,0,0,0
U-502(5-3-3),1,4,0,0,0,0,0
U-503(5-3-3),1,2,1,0,0,0,0
U-504(5-3-3),0,0,0,0,1,0,0
U-505(5-3-3),1,6,0,0,0,0,0
U-506(5-3-3),2,6,0,0,0,0,0
U-507(5-3-3),1,2,0,0,0,0,0
U-508(5-3-3),1,12,0,0,0,0,0
U-509(5-3-3),0,0,1,0,0,0,0
U-510(5-3-3),2,19,0,0,0,0,0
U-511(5-3-3),3,13,0,0,0,0,0
U-512(5-3-3),4,17,0,0,0,0,0
U-513(5-3-3),1,5,0,0,0,0,0
U-514(5-3-3),2,8,0,0,0,0,0
U-515(5-3-3),1,2,0,0,0,0,0
U-516(5-3-3),1,2,0,0,0,0,0
U-517(5-3-3),0,0,0,0,0,0,0
U-518(5-3-3),1,11,0,0,0,0,0
U-519(5-3-3),1,4,0,0,0,0,0
U-520(5-3-3),1,4,0,0,0,0,0
U-521(5-3-3),1,5,0,0,0,0,0
U-522(5-3-3),1,8,0,0,0,0,0
U-523(5-3-3),1,2,0,0,1,0,0
U-524(5-3-3),2,14,0,0,0,0,0
U-525(5-3-3),0,0,1,0,0,1,1
U-526(5-3-3),1,2,0,0,0,0,0
U-527(5-3-3),2,8,0,0,0,0,0
U-528(5-3-3),1,6,0,0,0,0,0
U-529(5-3-3),3,20,0,0,0,0,0
U-530(5-3-3),2,14,0,0,0,0,0
U-531(5-3-3),1,6,0,0,0,0,0
U-532(5-3-3),2,16,0,0,0,0,0
U-533(5-3-3),4,13,0,0,0,0,0
U-534(5-3-3),2,7,0,0,0,0,0
U-535(5-3-3),2,10,0,0,0,0,0
